Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
566,ГЗУ-34 п,1783943021.83,Running,Srp,49.488443503864396,49.487717534488986,,,-,
568,ГЗУ-33а п,1783942416.101,,Srp,58.733662540065346,58.93279288752416,,,-,
575,ГЗУ-33а п,1783942950.124,,Srp,0.9454961380914224,0.9588979790993665,,,-,
576,ГЗУ-33а п,1783943154.792,,Srp,2.6629331952959143,2.398655475775229,,,-,
578,ГЗУ-34 п,1783942688.051,,Srp,1.9724581043053637,2.0024944984192374,,,-,
581,ГЗУ-33а п,1783943121.637,Stop,Pcp,23.30817089152636,22.225344122477974,,,-,
582,ГЗУ-33а п,1783942667.656,Stop,Pcp,12.548512501301495,12.280324206643245,,,-,
591,ГЗУ-33а п,1783942659.752,,Pcp,3.4453964383656936,4.130713248691916,,,-,
598,ГЗУ-34 п,1783943365.056,Stop,Pcp,1.424026077705409,1.4356778926478417,,,-,
599,ГЗУ-34 п,1783941876.287,Running,Pcp,59.50167952710573,59.59428525507252,,,-,
600,ГЗУ-34 п,1783943060.784,Running,Pcp,40.75750933724094,40.66942278061445,,,-,
601,ГЗУ-33а п,1783943501.015,Running,Pcp,14.641049940395325,14.74479084122882,,,-,
603,ГЗУ-33а п,1783942332.74,Running,Pcp,34.121432272254765,33.966620315789456,,,-,
610,ГЗУ-33а п,1783942484.03,Running,Pcp,17.386428463137005,21.958975622462788,,,-,
612,ГЗУ-33а п,1783942982.953,Stop,Pcp,16.739663546756315,16.64086905671542,,,-,
615,ГЗУ-33а п,1783943518.253,,Pcp,0.5543222362060749,0.522595734606208,,,-,
617,ГЗУ-33а п,1783943138.923,Stop,Pcp,47.50834227360663,47.91246637623168,,,-,
619,ГЗУ-33а п,1773712843.541,,Pcp,null,null,,,-,
622,ГЗУ-33а п,1783943316.834,,Pcp,66.22643987907189,75.66104055458759,,,-,
627,ГЗУ-33а п,1783943293.105,Stop,Pcp,10.27910774179343,12.228666740161163,,,-,
628,ГЗУ-33а п,1783943105.769,Running,Pcp,8.824987435903365,8.798347942020612,,,-,
629,ГЗУ-33а п,1783938131.148,Running,Pcp,33.30048449122976,32.58374066662021,,,-,
630,ГЗУ-33а п,1783943276.086,Running,Pcp,59.948922373966816,58.34322267869401,,,-,
631,ГЗУ-33а п,1783942665.49,,Pcp,6.589427706703368,6.6752868713990425,,,-,
632,ГЗУ-33а п,1783942909.838,,Srp,29.248950352820806,29.278998838549523,,,-,
634,ГЗУ-33а п,1783942174.955,Running,Srp,13.332333745425279,12.63540283452959,,,-,
661,ГЗУ-12 ввг,1783941022.311,Stop,Pcp,null,36.87408770881061,,,-,
662,ГЗУ-12 ввг,1780033880.58,Running,Srp,null,null,,,-,
677,ГЗУ-1 ввг,1783943130.272,Stop,Srp,4.0148158644593614,4.0678865079142055,,,-,
678,ГЗУ-1 ввг,1783942038.425,Stop,Pcp,25.099746056776382,25.02965720878006,,,-,
681,ГЗУ-1 ввг,1783926446.952,Stop,Srp,16.86866060880495,null,,,-,
682,ГЗУ-1 ввг,1783942577.649,Stop,Srp,21.341081090708265,20.204911905982307,,,-,
685,ГЗУ-5 ввг,1783943001.478,,Pcp,3.8300861299513222,3.855390359208237,,,-,
688,ГЗУ-5 ввг,1783940347.949,Running,Srp,38.74694690189157,38.20924265012503,,,-,
690,ГЗУ-5 ввг,1779933642.541,Stop,Srp,null,null,,,-,
691,ГЗУ-5 ввг,1783940629.536,Running,Pcp,0,null,,,-,
692,ГЗУ-5 ввг,1776532572.976,Stop,Srp,null,null,,,-,
693,ГЗУ-5 ввг,1783942496.732,,Pcp,9.973497581745864,10.131530218031195,,,-,
697,ГЗУ-5 ввг,1783942576.589,,Pcp,20.22126919929992,20.48116368711956,,,-,
699,ГЗУ-1 ввг,1778901913.294,Stop,Pcp,null,null,,,-,
701,ГЗУ-5 ввг,1783943079.251,,Pcp,23.771698333764846,23.756396767800414,,,-,
705,ГЗУ-5 ввг,1783942428.746,Stop,Pcp,30.182593261124964,29.706795711893488,,,-,
706,ГЗУ-5 ввг,1780039084.168,,Srp,null,null,,,-,
707,ГЗУ-5 ввг,1779242443.967,Running,Pcp,null,null,,,-,
708,ГЗУ-5 ввг,1783941143.321,Stop,Pcp,0,0,,,-,
709,ГЗУ-5 ввг,1782035692.855,Stop,Pcp,null,null,,,-,
711,ГЗУ-5 ввг,1783943274.1,Running,Srp,13.876653501334557,13.883141624569937,,,-,
715,ГЗУ-1 ввг,1783941139.768,Running,Srp,9.094001189281048,9.31126232846986,,,-,
719,ГЗУ-5 ввг,1783943339.391,,Pcp,9.125197270895104,9.145841366317491,,,-,
720,ГЗУ-5 ввг,1783943007.109,,Pcp,14.029042206746148,14.069631922227133,,,-,
721,ГЗУ-5 ввг,1783941110.64,,Srp,23.806401010566884,23.549008918615684,,,-,
722,ГЗУ-5 ввг,1783943105.854,Running,Srp,16.990718424844612,16.756164351208188,,,-,
723,ГЗУ-5 ввг,1783943363.492,,Srp,1.3188038318761022,1.3420830910485742,,,-,
724,ГЗУ-5 ввг,1783942469.905,Stop,Srp,14.59363447920245,14.705778045095046,,,-,
725,ГЗУ-5 ввг,1783925990.985,Stop,Srp,12.759822192249258,null,,,-,
726,ГЗУ-5 ввг,1783942945.983,Stop,Pcp,13.572428127706933,12.952807474130791,,,-,
730,ГЗУ-1 ввг,1783940718.326,Stop,Pcp,21.432939433033443,21.867491598728904,,,-,
735,ГЗУ-5 ввг,1783943311.355,Running,Srp,24.442841122851092,24.566478273443764,,,-,
736,ГЗУ-5 ввг,1783942476.723,Running,Srp,26.509729952168282,25.744666299599515,,,-,
737,ГЗУ-5 ввг,1783943396.562,Running,Srp,18.32337307216238,18.40440139908997,,,-,
738,ГЗУ-5 ввг,1783942468.473,,Pcp,0,null,,,-,
739,ГЗУ-5 ввг,1783942490.417,,Srp,16.901920743601735,16.729785987833168,,,-,
